,Dialogue ID,Chapter ID,Place ID,Character ID,Dialogue,Character Name,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Chapter Name,Movie ID,Movie Chapter,Tokens_Gensim,Tokens,pos_tags,chunks,all_entities_spacy_dial,wordcount,spell_count,SentimentScore,CompScore,PosScore,NegScore,NeuScore,PosFlag,NegFlag,NeuFlag,chara
719,720,27,39,5,I shouldn't have told you that. Where you going?! Wait!,rubeus hagrid,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,Through the Trapdoor,1,27,"['shouldn', 'have', 'told', 'you', 'that', 'where', 'you', 'going', 'wait']","['told', 'going', 'wait']","[('told', 'RB'), ('going', 'VBG'), ('wait', 'NN')]",(S told/RB going/VBG wait/NN),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
720,721,27,39,1,"We have to see Professor Dumbledore, immediately!",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['we', 'have', 'to', 'see', 'professor', 'dumbledore', 'immediately']","['see', 'professor', 'dumbledore', 'immediately']","[('see', 'NN'), ('professor', 'NN'), ('dumbledore', 'RBR'), ('immediately', 'RB')]",(S see/NN professor/NN dumbledore/RBR immediately/RB),"[('Dumbledore', 'PERSON')]",4,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['albus dumbledore', 'aberforth dumbledore']"
721,722,27,39,7,I'm afraid Professor Dumbledore is not here. He received an urgent owl from the Ministry of Magic and left immediately for London.,minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Through the Trapdoor,1,27,"['afraid', 'professor', 'dumbledore', 'is', 'not', 'here', 'he', 'received', 'an', 'urgent', 'owl', 'from', 'the', 'ministry', 'of', 'magic', 'and', 'left', 'immediately', 'for', 'london']","['afraid', 'professor', 'dumbledore', 'received', 'urgent', 'owl', 'ministry', 'magic', 'left', 'immediately', 'london']","[('afraid', 'NN'), ('professor', 'NN'), ('dumbledore', 'RB'), ('received', 'VBD'), ('urgent', 'JJ'), ('owl', 'NN'), ('ministry', 'NN'), ('magic', 'NN'), ('left', 'VBD'), ('immediately', 'RB'), ('london', 'JJ')]","(S
  afraid/NN
  professor/NN
  dumbledore/RB
  received/VBD
  urgent/JJ
  owl/NN
  ministry/NN
  magic/NN
  left/VBD
  immediately/RB
  london/JJ)","[('Dumbledore', 'PERSON'), ('the Ministry of Magic', 'ORG'), ('London', 'GPE')]",11,[],"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.2023}",0.2023,0.079,0.0,0.921,1,0,0,"['albus dumbledore', 'aberforth dumbledore']"
722,723,27,39,1,He's gone?! Now? But this is important! It's about...the Philosopher's Stone.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['he', 'gone', 'now', 'but', 'this', 'is', 'important', 'it', 'about', 'the', 'philosopher', 'stone']","['gone', 'important', 'philosopher', 'stone']","[('gone', 'VBN'), ('important', 'JJ'), ('philosopher', 'NN'), ('stone', 'NN')]",(S gone/VBN important/JJ philosopher/NN stone/NN),"[(""Philosopher's Stone"", 'ORG')]",4,[],"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.4843}",0.4843,0.239,0.0,0.761,1,0,0,[]
723,724,27,39,7,How do you know ?,minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Through the Trapdoor,1,27,"['how', 'do', 'you', 'know']",['know'],"[('know', 'VB')]",(S know/VB),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
724,725,27,39,1,Someone's going to try and steal it.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['someone', 'going', 'to', 'try', 'and', 'steal', 'it']","['someone', 'going', 'try', 'steal']","[('someone', 'NN'), ('going', 'VBG'), ('try', 'NN'), ('steal', 'NN')]",(S someone/NN going/VBG try/NN steal/NN),[],4,[],"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.4939}",-0.4939,0.0,0.348,0.652,0,1,0,[]
725,726,27,39,7,"I don't know how you three found out about the stone, but I can assure you it is perfectly well-protected. Now would you go back to your dormitories? Quietly.",minerva mcgonagall,Human,Female,Gryffindor,Cat,Fir,Dragon Heartstring,Through the Trapdoor,1,27,"['don', 'know', 'how', 'you', 'three', 'found', 'out', 'about', 'the', 'stone', 'but', 'can', 'assure', 'you', 'it', 'is', 'perfectly', 'well', 'protected', 'now', 'would', 'you', 'go', 'back', 'to', 'your', 'dormitories', 'quietly']","['know', 'three', 'found', 'stone', 'assure', 'perfectly', 'well', 'protected', 'would', 'go', 'back', 'dormitories', 'quietly']","[('know', 'VB'), ('three', 'CD'), ('found', 'IN'), ('stone', 'NN'), ('assure', 'NN'), ('perfectly', 'RB'), ('well', 'RB'), ('protected', 'VBN'), ('would', 'MD'), ('go', 'VB'), ('back', 'RB'), ('dormitories', 'NNS'), ('quietly', 'RB')]","(S
  know/VB
  three/CD
  found/IN
  stone/NN
  assure/NN
  perfectly/RB
  well/RB
  protected/VBN
  would/MD
  go/VB
  back/RB
  dormitories/NNS
  quietly/RB)","[('three', 'CARDINAL')]",13,[],"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.872}",0.872,0.263,0.0,0.737,1,0,0,[]
726,727,27,39,1,"That was no stranger Hagrid met in the village. It was Snape, which means he knows how to get past Fluffy.",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['that', 'was', 'no', 'stranger', 'hagrid', 'met', 'in', 'the', 'village', 'it', 'was', 'snape', 'which', 'means', 'he', 'knows', 'how', 'to', 'get', 'past', 'fluffy']","['stranger', 'hagrid', 'met', 'village', 'snape', 'means', 'knows', 'get', 'past', 'fluffy']","[('stranger', 'NN'), ('hagrid', 'JJ'), ('met', 'VBD'), ('village', 'NN'), ('snape', 'NN'), ('means', 'VBZ'), ('knows', 'VBZ'), ('get', 'VB'), ('past', 'JJ'), ('fluffy', 'NN')]","(S
  stranger/NN
  hagrid/JJ
  met/VBD
  village/NN
  snape/NN
  means/VBZ
  knows/VBZ
  get/VB
  past/JJ
  fluffy/NN)","[('Hagrid', 'GPE'), ('Snape', 'ORG'), ('Fluffy', 'PRODUCT')]",10,[],"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.296}",-0.296,0.0,0.099,0.901,0,1,0,"['rubeus hagrid', 'severus snape']"
727,728,27,39,3,And with Dumbledore gone,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['and', 'with', 'dumbledore', 'gone']","['dumbledore', 'gone']","[('dumbledore', 'NN'), ('gone', 'VBN')]",(S dumbledore/NN gone/VBN),[],2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,"['albus dumbledore', 'aberforth dumbledore']"
728,729,27,39,6,"Good afternoon. Now, what would three young Gryffindors such as yourselves be doing inside on a day like this?",severus snape,Human,Male,Slytherin,Doe,,,Through the Trapdoor,1,27,"['good', 'afternoon', 'now', 'what', 'would', 'three', 'young', 'gryffindors', 'such', 'as', 'yourselves', 'be', 'doing', 'inside', 'on', 'day', 'like', 'this']","['good', 'afternoon', 'would', 'three', 'young', 'gryffindors', 'inside', 'day', 'like']","[('good', 'JJ'), ('afternoon', 'NN'), ('would', 'MD'), ('three', 'CD'), ('young', 'JJ'), ('gryffindors', 'NNS'), ('inside', 'IN'), ('day', 'NN'), ('like', 'IN')]","(S
  good/JJ
  afternoon/NN
  would/MD
  three/CD
  young/JJ
  gryffindors/NNS
  inside/IN
  day/NN
  like/IN)","[('afternoon', 'TIME'), ('three', 'CARDINAL'), ('a day', 'DATE')]",9,[],"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.6597}",0.6597,0.252,0.0,0.748,1,0,0,['gryffindors']
729,730,27,39,3,Uh...we were just...,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['uh', 'we', 'were', 'just']",['uh'],"[('uh', 'NN')]",(S uh/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
730,731,27,39,6,You want to be careful. People will think you're  up to something.,severus snape,Human,Male,Slytherin,Doe,,,Through the Trapdoor,1,27,"['you', 'want', 'to', 'be', 'careful', 'people', 'will', 'think', 'you', 're', 'up', 'to', 'something']","['want', 'careful', 'people', 'think', 'something']","[('want', 'JJ'), ('careful', 'JJ'), ('people', 'NNS'), ('think', 'VBP'), ('something', 'NN')]",(S want/JJ careful/JJ people/NNS think/VBP something/NN),[],5,[],"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.2263}",0.2263,0.225,0.0,0.775,1,0,0,[]
731,732,27,39,3,Now what do we do?,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['now', 'what', 'do', 'we', 'do']",[],[],(S ),[],0,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
732,733,27,39,1,We go down the trapdoor. Tonight.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['we', 'go', 'down', 'the', 'trapdoor', 'tonight']","['go', 'trapdoor', 'tonight']","[('go', 'VB'), ('trapdoor', 'NN'), ('tonight', 'NN')]",(S go/VB trapdoor/NN tonight/NN),"[('Tonight', 'TIME')]",3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
733,734,27,39,1,Trevor.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,['trevor'],['trevor'],"[('trevor', 'NN')]",(S trevor/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
734,735,27,39,2,"Trevor shh! Go, you shouldn't be here!",ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['trevor', 'shh', 'go', 'you', 'shouldn', 'be', 'here']","['trevor', 'shh', 'go']","[('trevor', 'NN'), ('shh', 'NN'), ('go', 'VBP')]",(S trevor/NN shh/NN go/VBP),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
735,736,27,39,10,"Neither should you. You're sneaking out again, arent you?",neville longbottom,Human,Male,Gryffindor,,Cherry,Unicorn Hair,Through the Trapdoor,1,27,"['neither', 'should', 'you', 'you', 're', 'sneaking', 'out', 'again', 'arent', 'you']","['neither', 'sneaking', 'arent']","[('neither', 'DT'), ('sneaking', 'VBG'), ('arent', 'NN')]",(S neither/DT sneaking/VBG arent/NN),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
736,737,27,39,1,"Now, Neville, listen. We were",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['now', 'neville', 'listen', 'we', 'were']","['neville', 'listen']","[('neville', 'RB'), ('listen', 'VB')]",(S neville/RB listen/VB),"[('Neville', 'GPE')]",2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['neville longbottom']
737,738,27,39,10,No! I won't let you!  You'll get Gryffindor in trouble again! I-I'll fight you.,neville longbottom,Human,Male,Gryffindor,,Cherry,Unicorn Hair,Through the Trapdoor,1,27,"['no', 'won', 'let', 'you', 'you', 'll', 'get', 'gryffindor', 'in', 'trouble', 'again', 'll', 'fight', 'you']","['let', 'get', 'gryffindor', 'trouble', 'fight']","[('let', 'VB'), ('get', 'VB'), ('gryffindor', 'JJ'), ('trouble', 'NN'), ('fight', 'NN')]",(S let/VB get/VB gryffindor/JJ trouble/NN fight/NN),[],5,[],"{'neg': 0.456, 'neu': 0.544, 'pos': 0.0, 'compound': -0.8114}",-0.8114,0.0,0.456,0.544,0,1,0,[]
738,739,27,39,3,"Neville, I'm really, really sorry about this... Petrificus Totalus.",hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['neville', 'really', 'really', 'sorry', 'about', 'this', 'petrificus', 'totalus']","['neville', 'really', 'really', 'sorry', 'petrificus', 'totalus']","[('neville', 'RB'), ('really', 'RB'), ('really', 'RB'), ('sorry', 'JJ'), ('petrificus', 'NN'), ('totalus', 'NN')]",(S neville/RB really/RB really/RB sorry/JJ petrificus/NN totalus/NN),"[('Neville', 'GPE'), ('Petrificus Totalus', 'ORG')]",6,['petrificus totalus'],"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.2195}",-0.2195,0.0,0.19,0.81,0,1,0,['neville longbottom']
739,740,27,39,2,"You're a little scary sometimes...you know that? Brilliant, but scary.",ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['you', 're', 'little', 'scary', 'sometimes', 'you', 'know', 'that', 'brilliant', 'but', 'scary']","['little', 'scary', 'sometimes', 'know', 'brilliant', 'scary']","[('little', 'JJ'), ('scary', 'JJ'), ('sometimes', 'RB'), ('know', 'VBP'), ('brilliant', 'JJ'), ('scary', 'JJ')]",(S little/JJ scary/JJ sometimes/RB know/VBP brilliant/JJ scary/JJ),[],6,[],"{'neg': 0.409, 'neu': 0.422, 'pos': 0.169, 'compound': -0.529}",-0.529,0.169,0.409,0.422,0,1,0,[]
740,741,27,39,1,Let's go.  Sorry.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['let', 'go', 'sorry']","['let', 'go', 'sorry']","[('let', 'VB'), ('go', 'VB'), ('sorry', 'VB')]",(S let/VB go/VB sorry/VB),[],3,[],"{'neg': 0.394, 'neu': 0.606, 'pos': 0.0, 'compound': -0.0772}",-0.0772,0.0,0.394,0.606,0,1,0,[]
741,742,27,59,3,Sorry.,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,['sorry'],['sorry'],"[('sorry', 'NN')]",(S sorry/NN),[],1,[],"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0772}",-0.0772,0.0,1.0,0.0,0,1,0,[]
742,743,27,59,2,"It's for your own good, you know.",ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['it', 'for', 'your', 'own', 'good', 'you', 'know']","['good', 'know']","[('good', 'JJ'), ('know', 'NNS')]",(S good/JJ know/NNS),[],2,[],"{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",0.4404,0.326,0.0,0.674,1,0,0,[]
743,744,27,59,3,Ow! You stood on my foot!,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['ow', 'you', 'stood', 'on', 'my', 'foot']","['ow', 'stood', 'foot']","[('ow', 'RB'), ('stood', 'VBD'), ('foot', 'NN')]",(S ow/RB stood/VBD foot/NN),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
744,745,27,59,2,Sorry.,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,['sorry'],['sorry'],"[('sorry', 'NN')]",(S sorry/NN),[],1,[],"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0772}",-0.0772,0.0,1.0,0.0,0,1,0,[]
745,746,27,59,3,Alohomora.,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,['alohomora'],['alohomora'],"[('alohomora', 'NNS')]",(S alohomora/NNS),"[('Alohomora', 'NORP')]",1,['alohomora'],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
746,747,27,59,2,Wait a minute...he's.... Sleeping.,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['wait', 'minute', 'he', 'sleeping']","['wait', 'minute', 'sleeping']","[('wait', 'NN'), ('minute', 'NN'), ('sleeping', 'VBG')]",(S wait/NN minute/NN sleeping/VBG),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
747,748,27,59,1,Snape's already been here. He's put a spell on the harp.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['snape', 'already', 'been', 'here', 'he', 'put', 'spell', 'on', 'the', 'harp']","['snape', 'already', 'put', 'spell', 'harp']","[('snape', 'NN'), ('already', 'RB'), ('put', 'VBD'), ('spell', 'UH'), ('harp', 'NN')]",(S snape/NN already/RB put/VBD spell/UH harp/NN),"[('Snape', 'ORG')]",5,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['severus snape']
748,749,27,59,2,Uh. It's got horrible breath!,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['uh', 'it', 'got', 'horrible', 'breath']","['uh', 'got', 'horrible', 'breath']","[('uh', 'NN'), ('got', 'VBD'), ('horrible', 'JJ'), ('breath', 'NN')]",(S uh/NN got/VBD horrible/JJ breath/NN),[],4,[],"{'neg': 0.487, 'neu': 0.513, 'pos': 0.0, 'compound': -0.5848}",-0.5848,0.0,0.487,0.513,0,1,0,[]
749,750,27,59,1,We have to move its paw.,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['we', 'have', 'to', 'move', 'its', 'paw']","['move', 'paw']","[('move', 'NN'), ('paw', 'NN')]",(S move/NN paw/NN),[],2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
750,751,27,59,2,What?!,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,['what'],[],[],(S ),[],0,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
751,752,27,59,1,"Come on!  Okay. Push!  I'll go first. Don't follow until I give you a sign.  If something bad happens, get yourselves out...Does it seem a bit...quiet?",harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['come', 'on', 'okay', 'push', 'll', 'go', 'first', 'don', 'follow', 'until', 'give', 'you', 'sign', 'if', 'something', 'bad', 'happens', 'get', 'yourselves', 'out', 'does', 'it', 'seem', 'bit', 'quiet']","['come', 'okay', 'push', 'go', 'first', 'follow', 'give', 'sign', 'something', 'bad', 'happens', 'get', 'seem', 'bit', 'quiet']","[('come', 'VB'), ('okay', 'NN'), ('push', 'NN'), ('go', 'VBP'), ('first', 'RB'), ('follow', 'RB'), ('give', 'VB'), ('sign', 'NN'), ('something', 'NN'), ('bad', 'JJ'), ('happens', 'VBZ'), ('get', 'NN'), ('seem', 'JJ'), ('bit', 'NN'), ('quiet', 'JJ')]","(S
  come/VB
  okay/NN
  push/NN
  go/VBP
  first/RB
  follow/RB
  give/VB
  sign/NN
  something/NN
  bad/JJ
  happens/VBZ
  get/NN
  seem/JJ
  bit/NN
  quiet/JJ)","[('first', 'ORDINAL')]",15,[],"{'neg': 0.151, 'neu': 0.778, 'pos': 0.07, 'compound': -0.4912}",-0.4912,0.07,0.151,0.778,0,1,0,[]
752,753,27,59,3,The harp. It stopped playing.,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['the', 'harp', 'it', 'stopped', 'playing']","['harp', 'stopped', 'playing']","[('harp', 'NN'), ('stopped', 'VBD'), ('playing', 'VBG')]",(S harp/NN stopped/VBD playing/VBG),[],3,[],"{'neg': 0.284, 'neu': 0.448, 'pos': 0.269, 'compound': -0.0258}",-0.0258,0.269,0.284,0.448,0,0,1,[]
753,754,27,59,2,Ew! Yuck! Ugh.,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['ew', 'yuck', 'ugh']","['ew', 'yuck', 'ugh']","[('ew', 'JJ'), ('yuck', 'NN'), ('ugh', 'IN')]",(S ew/JJ yuck/NN ugh/IN),[],3,[],"{'neg': 0.629, 'neu': 0.371, 'pos': 0.0, 'compound': -0.5242}",-0.5242,0.0,0.629,0.371,0,1,0,[]
754,755,27,59,1,Jump! Go!,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['jump', 'go']","['jump', 'go']","[('jump', 'NN'), ('go', 'VB')]",(S jump/NN go/VB),[],2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
755,756,27,64,2,"Ahh!  Whoa. Lucky this plant-thing is here, really.",ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['ahh', 'whoa', 'lucky', 'this', 'plant', 'thing', 'is', 'here', 'really']","['ahh', 'whoa', 'lucky', 'plant', 'thing', 'really']","[('ahh', 'NN'), ('whoa', 'NN'), ('lucky', 'JJ'), ('plant', 'NN'), ('thing', 'NN'), ('really', 'RB')]",(S ahh/NN whoa/NN lucky/JJ plant/NN thing/NN really/RB),[],6,[],"{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.4753}",0.4753,0.306,0.0,0.694,1,0,0,[]
756,757,27,64,1,Whoa!  Oh. Ahh!,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['whoa', 'oh', 'ahh']","['whoa', 'oh', 'ahh']","[('whoa', 'NN'), ('oh', 'UH'), ('ahh', 'NN')]",(S whoa/NN oh/UH ahh/NN),[],3,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
757,758,27,64,3,"Stop moving, both of you. This is Devil's Snare. You have to relax. If you don't, it will only kill you faster.",hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['stop', 'moving', 'both', 'of', 'you', 'this', 'is', 'devil', 'snare', 'you', 'have', 'to', 'relax', 'if', 'you', 'don', 'it', 'will', 'only', 'kill', 'you', 'faster']","['stop', 'moving', 'devil', 'snare', 'relax', 'kill', 'faster']","[('stop', 'VB'), ('moving', 'VBG'), ('devil', 'JJ'), ('snare', 'NN'), ('relax', 'NN'), ('kill', 'VBP'), ('faster', 'RBR')]",(S stop/VB moving/VBG devil/JJ snare/NN relax/NN kill/VBP faster/RBR),"[('Devil', 'PERSON')]",7,[],"{'neg': 0.24, 'neu': 0.66, 'pos': 0.101, 'compound': -0.6124}",-0.6124,0.101,0.24,0.66,0,1,0,[]
758,759,27,64,2,"Kill us faster?! Oh, now I can relax!",ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['kill', 'us', 'faster', 'oh', 'now', 'can', 'relax']","['kill', 'us', 'faster', 'oh', 'relax']","[('kill', 'VB'), ('us', 'PRP'), ('faster', 'JJR'), ('oh', 'UH'), ('relax', 'NN')]",(S kill/VB us/PRP faster/JJR oh/UH relax/NN),[],5,[],"{'neg': 0.401, 'neu': 0.379, 'pos': 0.22, 'compound': -0.5242}",-0.5242,0.22,0.401,0.379,0,1,0,[]
759,760,27,64,2,Hermione!!,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,['hermione'],['hermione'],"[('hermione', 'NN')]",(S hermione/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['hermione granger']
760,761,27,64,1,Hermione!!,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,['hermione'],['hermione'],"[('hermione', 'NN')]",(S hermione/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['hermione granger']
761,762,27,64,2,Now what are we gonna do?!,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['now', 'what', 'are', 'we', 'gonna', 'do']","['gon', 'na']","[('gon', 'NN'), ('na', 'TO')]",(S gon/NN na/TO),[],2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,[]
762,763,27,64,3,Just relax!,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['just', 'relax']",['relax'],"[('relax', 'NN')]",(S relax/NN),[],1,[],"{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.4926}",0.4926,0.761,0.0,0.239,1,0,0,[]
763,764,27,64,1,Hermione! Where are you?!,harry potter,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,Through the Trapdoor,1,27,"['hermione', 'where', 'are', 'you']",['hermione'],"[('hermione', 'NN')]",(S hermione/NN),[],1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['hermione granger']
764,765,27,64,3,Do what I say. Trust me.,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['do', 'what', 'say', 'trust', 'me']","['say', 'trust']","[('say', 'VB'), ('trust', 'NN')]",(S say/VB trust/NN),[],2,[],"{'neg': 0.0, 'neu': 0.548, 'pos': 0.452, 'compound': 0.5106}",0.5106,0.452,0.0,0.548,1,0,0,[]
765,766,27,64,2,Ahh! Harry!,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,"['ahh', 'harry']","['ahh', 'harry']","[('ahh', 'NN'), ('harry', 'NN')]",(S ahh/NN harry/NN),"[('Harry', 'PERSON')]",2,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['harry potter']
766,767,27,64,2,Harry!,ron weasley,Human,Male,Gryffindor,Jack Russell Terrier,,,Through the Trapdoor,1,27,['harry'],['harry'],"[('harry', 'NN')]",(S harry/NN),"[('Harry', 'PERSON')]",1,[],"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,1.0,0,0,1,['harry potter']
767,768,27,64,3,Are you okay?,hermione granger,Human,Female,Gryffindor,Otter,Vine,Dragon Heartstring,Through the Trapdoor,1,27,"['are', 'you', 'okay']",['okay'],"[('okay', 'NN')]",(S okay/NN),[],1,[],"{'neg': 0.0, 'neu': 0.513, 'pos': 0.487, 'compound': 0.2263}",0.2263,0.487,0.0,0.513,1,0,0,[]
